Feature	Importance
Freq5000_nw	0.0005881760273100235
Inhwrd_d	0.0005865140143150043
Conn_temp_dz	0.0005784958125605157
D_level	0.0005751007886017492
Ww_mod_dz	0.0005704290406557032
Freq1000_corr	0.0005694545220052471
Onbep_nwg_p	0.0005632691735940165
Conn_reeks_zin_d	0.000548421555095763
Freq10000_inhwrd	0.000547877590971826
D_level_gt4_p	0.0005338461286518599
Freq5000_corr	0.0005202707957169696
Alg_ww_kenn_p	0.0005026770457052888
Pers_vnw_d	0.0004925925411802385
Ontk_tot_dz	0.0004820158968758733
Zin_per_doc	0.00047934025803092695
AL_lidw_znw	0.0004514351300669974
Alg_negatief_bvnw_d	0.000450407042153528
Alg_positief_bvnw_d	0.00044648050177645266
Lem_freq_zn_log_zonder_abw	0.0004442335477609891
