Feature	Importance
Lem_over_buf_dz	0.0008832578012071376
Freq5000_corr	0.0008555999509175452
Wrd_freq_log_nw	0.0008375179455988946
Alg_ww_rel_sit_p	0.0008241558999196676
Conn_reeks_wg_dz	0.0008225606037405006
Ruimte_MTLD	0.0008203175484465002
PlantDier_nw_d	0.0008010876597066843
Conn_comp_d	0.0007956989744318123
Imp_ellips_p	0.0007929074888798857
Vnw_ref_d	0.0007753903623521198
Bijw_bep_alg_d	0.0007749681742342077
Gebeuren_abstr_nw_d	0.0007713223860114853
Infin_vrij_dz	0.0007694399302101206
Freq3000_inhwrd	0.0007642997884538019
Freq20000_nw_corr	0.0007519738775171579
Alg_nw_kenn_p	0.0007407714994166913
Bijw_bep_dz	0.0007297710564985194
Pv_Frog_per_zin	0.0007262278726980888
